expo_cond,deg_4h,deg_4h_score,deg_24h,deg_24h_score,tox_4h,tox_4h_score,tox_24h,tox_24h_score,final_score
LPS,119,8,137,11,4,4,8,4,27
Flaming Eucalyptus,159,10,93,10,1,2,1,2,24
Flaming Peat,156,9,78,8,4,4,6,3,24
Smoldering Eucalyptus,88,7,82,9,1,2,1,2,20
Smoldering Pine Needles,17,3,8,7,1,2,0,1,13
Flaming Pine Needles,83,6,4,3,1,2,0,1,12
Smoldering Pine,21,4,6,5,1,2,0,1,12
Flaming Pine,21,4,5,4,1,2,0,1,11
Flaming Red Oak,49,5,2,2,2,3,0,1,11
Smoldering Red Oak,2,2,7,6,0,1,0,1,10
Smoldering Peat,1,1,1,1,1,2,0,1,5
